Joule calculated,filename
189.42696,http1921681928000with_prefixwwwofficecomwwwofficecom
175.45283999999998,http1921681928000with_prefixwwwofficecomwwwofficecom
201.8484,http1921681928000with_prefixwwwofficecomwwwofficecom
120.02216399999999,http1921681928000without_prefixnlquoracomnlquoracom
135.238428,http1921681928000without_prefixnlquoracomnlquoracom
133.53048,http1921681928000without_prefixnlquoracomnlquoracom
137.877984,http1921681928000without_prefixnlquoracomnlquoracom
161.47871999999998,http1921681928000without_prefixnlquoracomnlquoracom
135.8595,http1921681928000without_prefixnlquoracomnlquoracom
194.085,http1921681928000without_prefixnlquoracomnlquoracom
195.63768000000002,http1921681928000without_prefixnlquoracomnlquoracom
79.18668000000001,http1921681928000without_prefixnlquoracomnlquoracom
118.78002,http1921681928000without_prefixnlquoracomnlquoracom
127.630296,http1921681928000without_prefixnlquoracomnlquoracom
132.909408,http1921681928000without_prefixnlquoracomnlquoracom
133.996284,http1921681928000without_prefixnlquoracomnlquoracom
133.685748,http1921681928000without_prefixnlquoracomnlquoracom
135.54896399999998,http1921681928000without_prefixnlquoracomnlquoracom
145.33365600000002,http1921681928000with_prefixtrellocomtrellocom
143.495928,http1921681928000with_prefixtrellocomtrellocom
248.09328,http1921681928000with_prefixtrellocomtrellocom
143.495928,http1921681928000with_prefixtrellocomtrellocom
143.95536,http1921681928000with_prefixtrellocomtrellocom
229.71599999999998,http1921681928000with_prefixtrellocomtrellocom
209.80728,http1921681928000with_prefixtrellocomtrellocom
147.47767199999998,http1921681928000with_prefixtrellocomtrellocom
241.96752,http1921681928000with_prefixtrellocomtrellocom
238.90464,http1921681928000with_prefixtrellocomtrellocom
139.054752,http1921681928000with_prefixtrellocomtrellocom
143.802216,http1921681928000with_prefixtrellocomtrellocom
237.3732,http1921681928000with_prefixtrellocomtrellocom
243.49896,http1921681928000with_prefixtrellocomtrellocom
146.711952,http1921681928000with_prefixtrellocomtrellocom
245.0304,http1921681928000without_prefixtrellocomtrellocom
143.649072,http1921681928000without_prefixtrellocomtrellocom
225.12167999999997,http1921681928000without_prefixtrellocomtrellocom
228.18456,http1921681928000without_prefixtrellocomtrellocom
229.71599999999998,http1921681928000without_prefixtrellocomtrellocom
223.59024,http1921681928000without_prefixtrellocomtrellocom
147.937104,http1921681928000without_prefixtrellocomtrellocom
145.946232,http1921681928000without_prefixtrellocomtrellocom
228.18456,http1921681928000without_prefixtrellocomtrellocom
136.451304,http1921681928000without_prefixtrellocomtrellocom
243.49896,http1921681928000without_prefixtrellocomtrellocom
144.414792,http1921681928000without_prefixtrellocomtrellocom
153.144,http1921681928000without_prefixtrellocomtrellocom
139.973616,http1921681928000without_prefixtrellocomtrellocom
234.31032000000002,http1921681928000without_prefixtrellocomtrellocom
180.70991999999998,http1921681928000without_prefixtwittercomtwittercom
105.51621599999999,http1921681928000without_prefixtwittercomtwittercom
196.02432,http1921681928000without_prefixtwittercomtwittercom
103.831632,http1921681928000without_prefixtwittercomtwittercom
103.52534399999999,http1921681928000without_prefixtwittercomtwittercom
105.05678400000001,http1921681928000without_prefixtwittercomtwittercom
98.318448,http1921681928000without_prefixtwittercomtwittercom
107.813376,http1921681928000without_prefixtwittercomtwittercom
102.912768,http1921681928000without_prefixtwittercomtwittercom
177.64704,http1921681928000without_prefixtwittercomtwittercom
105.05678400000001,http1921681928000without_prefixtwittercomtwittercom
103.52534399999999,http1921681928000without_prefixtwittercomtwittercom
197.55576000000002,http1921681928000without_prefixtwittercomtwittercom
106.588224,http1921681928000without_prefixtwittercomtwittercom
104.13792,http1921681928000without_prefixtwittercomtwittercom
105.97564799999999,http1921681928000with_prefixtwittercomtwittercom
205.21296,http1921681928000with_prefixtwittercomtwittercom
106.43508,http1921681928000with_prefixtwittercomtwittercom
211.33872000000002,http1921681928000with_prefixtwittercomtwittercom
105.51621599999999,http1921681928000with_prefixtwittercomtwittercom
105.209928,http1921681928000with_prefixtwittercomtwittercom
106.28193600000002,http1921681928000with_prefixtwittercomtwittercom
104.13792,http1921681928000with_prefixtwittercomtwittercom
106.12879199999999,http1921681928000with_prefixtwittercomtwittercom
109.49796,http1921681928000with_prefixtwittercomtwittercom
196.02432,http1921681928000with_prefixtwittercomtwittercom
103.984776,http1921681928000with_prefixtwittercomtwittercom
106.741368,http1921681928000with_prefixtwittercomtwittercom
106.12879199999999,http1921681928000with_prefixtwittercomtwittercom
105.97564799999999,http1921681928000with_prefixtwittercomtwittercom
108.17161200000001,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
94.35916800000001,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
103.515732,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
106.619652,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
282.45672,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
294.8724,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
293.32043999999996,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
218.82636000000002,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
167.61168,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
107.55082800000001,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
307.28808,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
301.08024,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
106.619652,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
287.1126,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
104.7573,http1921681928000without_prefixnlsurveymonkeycomnlsurveymonkeycom
105.53328,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
301.08024,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
220.37832000000003,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
105.37808400000002,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
104.7573,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
109.72357199999999,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
112.98268799999998,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
288.66456,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
113.758668,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
296.42436000000004,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
107.08523999999998,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
105.688476,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
108.6372,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
290.21652,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
287.1126,http1921681928000with_prefixnlsurveymonkeycomnlsurveymonkeycom
124.70371200000001,http1921681928000with_prefixwwwcriteocomwwwcriteocom
104.73883199999999,http1921681928000with_prefixwwwcriteocomwwwcriteocom
211.93488,http1921681928000with_prefixwwwcriteocomwwwcriteocom
198.11303999999998,http1921681928000with_prefixwwwcriteocomwwwcriteocom
117.02491200000001,http1921681928000with_prefixwwwcriteocomwwwcriteocom
120.71073600000001,http1921681928000with_prefixwwwcriteocomwwwcriteocom
