device,subject,browser,android_cpu,android_mem,filename
j7,http1921681928000without_prefixwwwbookingcomwwwbookingcomindexen-gbhtml,chrome,26.25136015620116,2095680.559717994,/home/kailainathan/Documents/output/avast&booking&ad/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwavastcomwwwavastcomnl-nl,chrome,28.257735458215162,2081032.914128636,/home/kailainathan/Documents/output/avast&booking&ad/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixoutlooklivecomoutlooklivecomowa,chrome,27.824066970066966,2176149.410224375,/home/kailainathan/Documents/output/outlook/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixoutlooklivecomoutlooklivecomowa,chrome,25.908160893458586,2176999.590205965,/home/kailainathan/Documents/output/outlook/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixwwwhowtogeekcomwwwhowtogeekcom,chrome,25.852322456000763,2142813.603822328,/home/kailainathan/Documents/output/howtogeek/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwhowtogeekcomwwwhowtogeekcom,chrome,26.088018389018394,2155853.6252356903,/home/kailainathan/Documents/output/howtogeek/Aggregated_Results_Android.csv
j7,http19216812088000with_prefixbitlycombitlycom,chrome,24.250430987839106,2111446.981536271,/home/kailainathan/Documents/output/bitly_with/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixnlquoracomnlquoracom,chrome,25.78260126910127,2133705.273584409,/home/kailainathan/Documents/output/quora_with/Aggregated_Results_Android.csv
j7,http19216812088000without_prefixbitlycombitlycom,chrome,24.60296572058537,2100002.440681436,/home/kailainathan/Documents/output/bitly_without/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixstackexchangecomstackexchangecom,chrome,18.97471937242368,2060195.668142873,/home/kailainathan/Documents/output/stackover&stackexc/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixstackexchangecomstackexchangecom,chrome,18.890061130409613,2081339.7416390902,/home/kailainathan/Documents/output/stackover&stackexc/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixstackoverflowcomstackoverflowcom,chrome,19.254453729779367,2086756.1004138384,/home/kailainathan/Documents/output/stackover&stackexc/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixstackoverflowcomstackoverflowcom,chrome,19.743087697224475,2089594.5200026364,/home/kailainathan/Documents/output/stackover&stackexc/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwtripodlycoscomwwwtripodlycoscom,chrome,19.587330064132,1952652.78275978,/home/kailainathan/Documents/output/tumblr&tripodly/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwtumblrcomwwwtumblrcom,chrome,21.529014945861803,1966185.05121327,/home/kailainathan/Documents/output/tumblr&tripodly/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixwwwtripodlycoscomwwwtripodlycoscom,chrome,19.5576347721125,1961816.7248835,/home/kailainathan/Documents/output/tumblr&tripodly/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixwwwtumblrcomwwwtumblrcom,chrome,22.569425532342702,1982357.91500842,/home/kailainathan/Documents/output/tumblr&tripodly/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwmibcomwwwmibcom,chrome,23.8827308348241,2008589.1135988086,/home/kailainathan/Documents/output/indeed&mib/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixwwwmibcomwwwmibcom,chrome,23.11579200589724,2002518.577648562,/home/kailainathan/Documents/output/indeed&mib/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixwwwindeednlwwwindeednl,chrome,25.6309349847517,2009464.649520881,/home/kailainathan/Documents/output/indeed&mib/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwindeednlwwwindeednl,chrome,26.971953470442447,2009986.2582500956,/home/kailainathan/Documents/output/indeed&mib/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwordpresscomwordpresscom,chrome,22.110606934790898,2122074.37327718,/home/kailainathan/Documents/output/wordpr&amobee&ad/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwamobeecomwwwamobeecom,chrome,23.4280373275968,2111618.23673458,/home/kailainathan/Documents/output/wordpr&amobee&ad/Aggregated_Results_Android.csv
j7,http1921681928000without_prefixwwwautodeskcomwwwautodeskcom,chrome,25.354610279823,2125842.5585937,/home/kailainathan/Documents/output/wordpr&amobee&ad/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixwordpresscomwordpresscom,chrome,23.4981473673886,2105394.11494295,/home/kailainathan/Documents/output/wordpr&amobee&ad/Aggregated_Results_Android.csv
j7,http1921681928000with_prefixwwwamobeecomwwwamobeecom,chrome,24.3497396850062,2122480.5843939,/home/kailainathan/Documents/output/wordpr&amobee&ad/Aggregated_Results_Android.csv
